field_id,crop,mae,rmse,corr,bias,skill_score
CA_216615,176,0.64,0.78,-0.41,-0.02,0.6
CA_21795,69,0.6,0.73,0.45,0.53,-0.41
CA_218007,176,0.85,1.02,0.47,-0.67,0.0
CA_218312,211,0.67,0.81,-0.27,0.59,0.64
CA_218326,47,0.73,1.12,-0.56,0.5,-0.04
CA_218428,47,0.3,0.36,0.26,0.03,0.94
CA_218496,141,1.28,1.49,0.34,1.12,0.08
CA_218504,61,0.71,0.86,0.72,0.2,0.63
CA_218705,69,1.95,2.0,0.09,1.95,-9.33
CA_219484,220,0.63,0.82,-0.22,0.11,-0.08
CA_221043,176,0.74,0.92,-0.01,0.59,-0.71
CA_222239,176,0.5,0.67,-0.41,-0.16,-0.6
CA_223390,176,0.55,0.66,-0.64,0.36,0.86
CA_223445,47,1.28,1.41,-0.66,0.15,-0.34
