field_id,crop,mae,rmse,corr,bias,skill_score
CA_184177,76,6.33,9.59,0.98,1.67,0.97
CA_18461,69,7.83,9.43,0.75,3.33,0.49
CA_18496,69,5.08,6.14,0.89,-0.08,0.77
CA_185399,47,5.67,8.01,0.96,0.83,0.93
CA_186283,75,7.67,9.2,0.98,0.33,0.97
CA_186870,141,10.5,14.41,0.93,-8.17,0.79
CA_186949,211,8.17,11.63,0.96,-4.17,0.8
CA_187438,220,8.92,11.74,0.96,5.75,0.89
CA_188163,176,11.42,15.19,0.99,-11.42,0.93
CA_188282,176,9.25,13.19,0.99,-7.92,0.95
CA_189979,61,12.17,19.63,0.92,10.0,0.8
CA_192791,36,11.17,16.63,0.95,2.67,0.9
CA_192944,176,16.83,26.61,0.9,16.17,0.72
CA_194654,3,37.5,65.02,0.51,36.67,0.18
CA_195055,3,15.83,21.2,0.97,11.83,0.9
CA_195552,3,8.67,10.92,0.99,1.33,0.98
CA_196039,3,9.33,12.59,0.99,4.5,0.97
CA_196217,3,46.17,76.7,0.51,-40.33,-0.14
CA_196350,3,44.5,79.08,0.47,44.5,0.09
CA_197206,36,10.25,19.64,0.94,-6.75,0.87
CA_197548,47,10.0,15.22,0.88,9.17,0.67
CA_197684,211,6.92,10.38,0.98,-3.58,0.92
CA_198018,176,10.25,13.49,0.99,-8.75,0.94
CA_198392,61,7.25,9.12,0.98,2.75,0.96
CA_199389,75,4.92,6.84,0.96,1.25,0.92
CA_199621,75,4.5,5.45,0.99,-0.5,0.99
CA_199886,75,4.67,5.85,1.0,2.67,0.99
CA_199904,76,6.83,9.04,0.99,0.0,0.98
CA_20111,69,5.75,7.26,0.96,2.25,0.88
CA_201209,3,7.25,9.21,0.99,1.08,0.98
CA_202362,47,16.0,25.24,0.56,12.5,0.11
CA_203481,75,4.0,5.1,1.0,1.67,0.99
CA_203822,176,8.75,11.33,0.97,-3.08,0.93
CA_203945,211,11.67,17.17,0.93,-6.67,0.32
CA_204345,211,5.0,7.31,0.98,1.17,0.97
CA_204773,75,9.17,12.86,0.95,4.17,0.9
CA_205074,3,5.92,7.25,0.99,-1.25,0.99
CA_205669,61,6.33,8.58,0.98,-2.0,0.93
CA_206014,47,15.75,26.6,0.87,11.92,0.71
CA_206280,61,5.67,8.83,0.95,0.83,0.9
CA_206394,3,39.83,71.0,0.37,38.17,0.04
CA_207283,3,7.33,8.95,0.99,-0.33,0.98
